x,y
258,0.254327730209667
257,0.266827344218212
256,0.225296884761377
255,0.191093017077232
254,0.165941515226253
253,0.143064179743558
252,0.124103370142264
251,0.111643466351814
250,0.104170345012739
249,0.097237092524859
248,0.090801746565593
247,0.084763904126482
245,0.078703227637719
233,0.02741415878317
231,0.021183963741857
229,0.015243694746337
227,0.00922889946487
225,0.003263621361871
224,-0.002504614286828
222,-0.00792549104309
221,-0.012834992682538
219,-0.017141341433834
217,-0.020741058250947
215,-0.023650900053691
214,-0.025857665280264
212,-0.027462302882382
210,-0.028511377696102
208,-0.029130637577121
207,-0.029380651718546
205,-0.029369588453913
203,-0.029144984829234
201,-0.028751253345635
199,-0.028280593384655
197,-0.027744939441421
194,-0.027169842422231
192,-0.026571438840473
189,-0.025958572032664
187,-0.025337326598054
184,-0.02470304502238
181,-0.024053246454504
179,-0.023369865661534
176,-0.022640194223907
173,-0.021829177091721
171,-0.020910038419173
168,-0.019823556566913
166,-0.0185243667657
164,-0.016919479379679
161,-0.014942219317577
159,-0.012456574255707
157,-0.009377752320073
154,-0.005522677179044
152,-0.000801914397028
151,0.005006688651884
149,0.011969811365386
147,0.020322395799923
145,0.03006812534777
143,0.041406944633452
141,0.054235201966917
139,0.068653719473536
137,0.084417251797549
134,0.101464631166916
132,0.11940347953055
129,0.137972534126519
125,0.156671080360294
116,0.225675901256224
106,0.213169455842499
101,0.199188483562882
97,0.184928857300082
94,0.169166187085641
91,0.152474418717904
88,0.136110311216453
85,0.120589147470475
83,0.105398043296496
81,0.08897686747826
78,0.075078024821475
76,0.062234602546185
74,0.051447373311232
71,0.041007945248516
69,0.031838303079251
67,0.023889629342067
65,0.017072443517988
63,0.011342714400325
60,0.006539354683617
58,0.002843946544978
56,-0.000353970185737
54,-0.002987333973109
52,-0.005022764885252
50,-0.006626895005985
49,-0.007746232587728
47,-0.008629916178892
45,-0.009250616468915
44,-0.009684069110101
42,-0.010018151142533
41,-0.010298990358636
40,-0.010534241767865
38,-0.010691518694963
37,-0.010776725494603
36,-0.010774835697035
35,-0.01068835533434
34,-0.010509473464287
32,-0.010247486191039
31,-0.009807233631691
30,-0.009170053425974
29,-0.00822107431875
28,-0.006905003271679
27,-0.005039551523763
26,-0.002541572734337
25,0.000593123240891
24,0.004876149188948
23,0.010539018996576
22,0.01760566586411
21,0.0265151553529
20,0.036471041267377
19,0.049518132785257
18,0.06475618042385
17,0.082729568368412
16,0.10309912612602
15,0.124569376738138
14,0.149399816377851
12,0.176919936192064
11,0.205625085272218
10,0.235735322772646
8,0.263909651664485
7,0.294251740820996
4,0.323475903286322
1,0.349377927190955
